127.0.0.1 - - [13/Jun/2022:19:32:51 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 5742
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:53 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=DA41DA6733D5358351A8C65ED12E8CE3?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:54 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:54 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:32:54 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:36:57 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:37:08 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:37:08 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:37:29 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:38:08 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6009
0:0:0:0:0:0:0:1 - - [13/Jun/2022:19:45:43 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 6007
