127.0.0.1 - - [08/Jul/2022:14:14:34 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 29041
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=284B5C75C865F96F3BF1519F79F9154B?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
