127.0.0.1 - - [06/Sep/2022:20:20:12 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/ HTTP/1.1" 200 11003
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:26 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4?ln=js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:27 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:27 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:27 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:27 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:27 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:27 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:29 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:30 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:43 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=924BF3B48785CCE618CCE22B05EDA6A4 HTTP/1.1" 200 28514
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:44 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:20:58 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 29813
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:00 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_55_f1fbe5_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:04 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:04 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_262626_40x40.png?ln=primefaces-trontastic HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:30 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 15615
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:30 -0300] "GET /Farmacia/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=4.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:40 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:46 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 31432
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:50 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:56 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:58 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:21:59 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 14005
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:22:00 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 8468
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:22:01 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_000000_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:22:05 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:22:12 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 14004
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:22:20 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28514
0:0:0:0:0:0:0:1 - - [06/Sep/2022:20:22:24 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 11721
