127.0.0.1 - - [22/Nov/2022:15:23:34 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/ HTTP/1.1" 200 11005
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:36 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:37 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=946D84564BB40E2FB43B579B9AC4ECFF HTTP/1.1" 200 28509
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:41 -0200] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:43 -0200] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 29813
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:23:44 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_55_f1fbe5_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:24:00 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:24:00 -0200] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4375
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:24:00 -0200] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_262626_40x40.png?ln=primefaces-trontastic HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:24:02 -0200] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [22/Nov/2022:15:24:03 -0200] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 425
